-1.69498e-19,2.5947e-37,-5.89203e-19,0.5,2,4.68805,-1.6034,4.40533,-0.748352,2.0561,0,0,-1.6034,4.40533,-0.966248,6.10075,0,0,0,0,0,0,1
-1.68273e-19,2.58835e-37,-5.53356e-19,0.5,2,4.70726,-1.60997,4.42338,-0.754922,2.07415,0,0,-1.60997,4.42338,-0.966175,6.10029,2.70726,0,3.33333,22562.9,0,0.000119987,1
0.00444672,0.000950552,0.316667,0.5,2,4.72425,-2.00283,4.27756,-0.940609,2.01445,0,0,-2.00283,4.27756,-1.42994,5.6932,2.72425,0,3.33333,0.170188,0,0.0998405,1
0.0171417,0.00792641,0.65,0.5,2,4.7407,-1.85362,4.3639,-0.867079,2.06679,0,0,-1.85362,4.3639,-1.23422,5.77519,2.7407,0,3.33333,0.165021,0,0.0996984,1
0.0336704,0.025927,0.983333,0.5,2,4.75264,-1.69588,4.45269,-0.786093,2.12411,0,0,-1.69588,4.45269,-1.06997,6.07445,2.75264,0,3.33333,0.118947,0,0.100316,1
0.0474656,0.0574304,1.31667,0.5,2,4.75033,-1.53348,4.53697,-0.701462,2.17948,0,0,-1.53348,4.53697,-2.6385,4.81661,2.75033,0,3.33333,-0.0220285,0,0.104704,1
0.0510632,0.101629,1.65,0.5,2,4.73513,-1.3758,4.61666,-0.622462,2.23287,0,0,-1.3758,4.61666,-2.37361,4.75188,2.73513,0,3.33333,-0.157033,0,0.0967957,1
0.0375785,0.154227,1.98333,0.5,2,4.70585,-1.3097,4.66309,-0.593951,2.26774,0,0,-1.3097,4.66309,-2.42287,5.05984,2.70585,0,-3.33333,-0.297671,0,0.0983803,1
0.0205792,0.216194,1.67667,0.5,2,4.67089,0.178233,4.88442,0.0938519,2.38584,0,0,0.178233,4.88442,-0.708139,5.35846,2.67089,0,3.33333,-0.308468,0,0.113327,1
0.00312595,0.288331,1.97,0.5,2,4.62953,-1.18513,4.76277,-0.543458,2.34652,0,0,-1.18513,4.76277,-2.19346,5.02643,2.62953,0,-3.33333,-0.41439,0,0.0998102,1
-0.0191735,0.369498,1.67667,0.5,2,4.58149,0.0555268,4.95037,0.0147648,2.45071,0,0,0.0555268,4.95037,-0.83491,5.48187,2.58149,0,3.33333,-0.418815,0,0.114708,1
-0.0418151,0.460859,1.97667,0.5,2,4.5211,-1.15504,4.84276,-0.539468,2.41973,0,0,-1.15504,4.84276,-2.09386,5.01528,2.5211,0,-3.33333,-0.608076,0,0.099314,1
-0.0679158,0.556912,1.67,0.5,2,4.45639,0.0344484,5.01213,-0.0229771,2.51279,0,0,0.0344484,5.01213,-0.804341,5.37859,2.45639,0,3.33333,-0.577246,0,0.112086,1
-0.090937,0.653763,1.97,0.5,2,4.38294,-1.36306,4.84803,-0.637448,2.45565,0,0,-1.36306,4.84803,-2.4133,5.23684,2.38294,0,-3.33333,-0.736429,0,0.0997414,1
-0.117014,0.749837,1.67,0.5,2,4.30836,-0.0932369,5.05813,-0.107034,2.55817,0,0,-0.0932369,5.05813,-0.94531,5.60384,2.30836,0,3.33333,-0.642212,0,0.116136,1
-0.138822,0.846981,1.95667,0.5,2,4.23622,-1.45552,4.87337,-0.67847,2.4972,0,0,-1.45552,4.87337,-2.40216,5.08431,2.23622,0,-3.33333,-0.647371,0,0.111438,1
-0.164825,0.943086,1.67,0.5,2,4.15916,-0.214461,5.10195,-0.184626,2.60213,0,0,-0.214461,5.10195,-1.01811,5.46598,2.15916,0,3.33333,-0.767974,0,0.100334,1
-0.186633,1.04023,1.95667,0.5,2,4.08352,-1.52341,4.89875,-0.705012,2.5365,0,0,-1.52341,4.89875,-2.36765,4.95737,2.08352,0,-3.33333,-0.687257,0,0.110068,1
-0.212035,1.13649,1.66333,0.5,2,4.00835,-0.373024,5.1416,-0.272616,2.64362,0,0,-0.373024,5.1416,-1.14165,5.39942,2.00835,0,3.33333,-0.759625,0,0.0989573,1
-0.23441,1.23349,1.96333,0.5,2,3.93369,-1.67551,4.89371,-0.759641,2.56751,0,0,-1.67551,4.89371,-2.4762,4.89312,1.93369,0,-3.33333,-0.665881,0,0.112111,1
-0.260454,1.32958,1.67,0.5,2,3.85892,-0.57556,5.17562,-0.371419,2.68397,0,0,-0.57556,5.17562,-1.3234,5.38598,1.85892,0,3.33333,-0.673242,0,0.111059,1
-0.283475,1.42643,1.97,0.5,2,3.78306,-1.75388,4.91204,-0.782177,2.60861,0,0,-1.75388,4.91204,-2.47699,4.82066,1.78306,0,-3.33333,-0.765413,0,0.0991162,1
-0.309552,1.52251,1.67,0.5,2,3.70921,-0.741266,5.2065,-0.450291,2.72349,0,0,-0.741266,5.2065,-1.46805,5.38796,1.70921,0,3.33333,-0.66293,0,0.111405,1
-0.332573,1.61936,1.97,0.5,2,3.63694,-1.91963,4.89176,-0.828701,2.64234,0,0,-1.91963,4.89176,-2.62055,4.78326,1.63694,0,-3.33333,-0.638518,0,0.113174,1
-0.359257,1.71527,1.67667,0.5,2,3.56296,-0.981984,5.22339,-0.545038,2.76187,0,0,-0.981984,5.22339,-1.67849,5.32694,1.56296,0,3.33333,-0.73048,0,0.101285,1
-0.381711,1.81227,1.96333,0.5,2,3.4886,-2.09908,4.84887,-0.868379,2.67278,0,0,-2.09908,4.84887,-2.76939,4.70972,1.4886,0,-3.33333,-0.67993,0,0.109359,1
-0.407148,1.90851,1.66333,0.5,2,3.41842,-1.2516,5.22099,-0.634025,2.79847,0,0,-1.2516,5.22099,-1.91582,5.24957,1.41842,0,3.33333,-0.699858,0,0.100276,1
-0.428912,2.00566,1.95667,0.5,2,3.34838,-2.30656,4.77804,-0.904649,2.70809,0,0,-2.30656,4.77804,-2.90385,4.55883,1.34838,0,-3.33333,-0.631369,0,0.110941,1
-0.45309,2.10222,1.65,0.5,2,3.28181,-1.55063,5.19507,-0.714552,2.83902,0,0,-1.55063,5.19507,-2.18424,5.15731,1.28181,0,3.33333,-0.58786,0,0.113228,1
-0.472951,2.19979,1.93667,0.5,2,3.21635,-2.53878,4.665,-0.933056,2.74884,0,0,-2.53878,4.665,-3.1297,4.43201,1.21635,0,-3.33333,-0.664175,0,0.0985579,1
-0.495812,2.29667,1.63667,0.5,2,3.15197,-1.76646,5.18117,-0.758638,2.89332,0,0,-1.76646,5.18117,-2.36957,5.09841,1.15197,0,3.33333,-0.566777,0,0.113603,1
-0.513767,2.39461,1.91667,0.5,2,3.09006,-2.57407,4.69757,-0.90719,2.83437,0,0,-2.57407,4.69757,-3.11013,4.43652,1.09006,0,3.33333,-0.637655,0,0.0970833,1
