-2.89851e-20,1.125e-37,-2.40745e-18,1.49925,2,2.00296,0.0349618,2.00266,-0.0261178,-1.49606,0,0,0.0349618,2.00266,-0.692921,2.01241,0.00296021,1,0.667
0.00455544,0.000192046,0.063365,1.49925,2,2.00277,0.0524253,2.00239,-0.0312132,-1.49586,0,0,0.0524253,2.00239,-0.677304,2.02275,0.00277019,1,0.667
0.0190294,0.00165211,0.130065,1.49925,2,2.00136,0.0381701,2.00293,0.00470384,-1.49617,0,0,0.0381701,2.00293,0.80336,1.98791,0.00136447,1,0.417758
0.0432895,0.00540189,0.172838,1.49925,2,1.99749,0.11639,2.00155,-0.0116693,-1.49536,0,0,0.11639,2.00155,-0.608009,2.02153,-0.00251353,1,0.218698
0.0772488,0.0117599,0.195504,1.49925,2,1.99067,0.139729,2.00145,0.0298997,-1.49608,0,0,0.139729,2.00145,-0.584605,2.02464,-0.00933301,1,0.036235
0.120926,0.0205353,0.20004,1.49925,2,1.9813,0.174129,2.00112,0.0801651,-1.49687,0,0,0.174129,2.00112,-0.548129,2.02463,-0.0186998,1,-0.110561
0.174441,0.0311084,0.189718,1.49925,2,1.96987,0.24766,1.99962,0.117595,-1.49722,0,0,0.24766,1.99962,-0.467612,2.02252,-0.0301312,1,-0.214973
0.237956,0.0426139,0.168742,1.49925,2,1.95755,0.283458,1.99964,0.20212,-1.49867,0,0,0.283458,1.99964,-0.429396,2.01785,-0.0424477,1,-0.302803
0.311625,0.0540262,0.138901,1.49925,2,1.94534,0.346991,1.99904,0.283374,-1.49963,0,0,0.346991,1.99904,1.09475,1.98827,-0.054661,1,-0.371522
0.395559,0.064172,0.102093,1.49925,2,1.9346,0.434409,1.99838,0.364138,-1.50016,0,0,0.434409,1.99838,-0.27064,2.01561,-0.0653983,1,-0.429403
0.489795,0.0717769,0.0594417,1.49925,2,1.92656,0.509781,1.99823,0.47348,-1.50083,0,0,0.509781,1.99823,1.24681,1.98432,-0.073444,1,-0.47445
0.589711,0.0753691,0.0122219,1.49925,2,1.92282,0.599776,1.99816,0.58146,-1.50104,0,0,0.599776,1.99816,-0.101695,2.00638,-0.0771831,1,-0.513086
0.689692,0.0740485,-0.0388549,1.49925,2,1.92459,0.697296,1.99862,0.68347,-1.5006,0,0,0.697296,1.99862,-0.00445211,2.0049,-0.0754149,1,-0.544033
