-2.21039e-18,2.26236e-35,-1.56003e-17,1.49925,2,2.00296,0.0349618,2.00266,-0.0261178,-1.49606,0,0,0.0349618,2.00266,-0.692921,2.01241,0.00296021,1,0.0667
0.00455995,1.92122e-05,0.0063365,1.49925,2,2.00288,0.0268304,2.00277,-0.0120785,-1.49626,0,0,0.0268304,2.00277,-0.702832,2.01293,0.0028789,1,0.1334
0.0191085,0.000213859,0.0192763,1.49925,2,2.00268,0.050415,2.00265,-0.00428635,-1.49618,0,0,0.050415,2.00265,-0.679166,2.01622,0.00267601,1,0.2001
0.0436475,0.000938133,0.0388194,1.49925,2,2.0019,0.0707587,2.00266,0.0233693,-1.49627,0,0,0.0707587,2.00266,0.838177,1.98982,0.00190258,1,0.1334
0.0781601,0.00253812,0.052693,1.49925,2,2.00016,0.112407,2.00241,0.0524927,-1.49633,0,0,0.112407,2.00241,0.878458,1.98523,0.000160933,1,0.0667
0.122638,0.00506675,0.06003,1.49925,2,1.99741,0.177039,2.00174,0.0817345,-1.49622,0,0,0.177039,2.00174,-0.550907,2.02519,-0.00258958,1,2.22045e-17
0.177087,0.00838061,0.0608304,1.49925,2,1.99377,0.229794,2.00145,0.137289,-1.49657,0,0,0.229794,2.00145,-0.497069,2.02496,-0.00622988,1,-0.0667
0.241529,0.0121214,0.0547607,1.49925,2,1.98969,0.271483,2.00158,0.218803,-1.49727,0,0,0.271483,2.00158,1.03286,1.98433,-0.0103132,1,-0.1334
0.315991,0.0157277,0.0418876,1.49925,2,1.98575,0.336791,2.00137,0.300138,-1.49769,0,0,0.336791,2.00137,1.09733,1.98915,-0.0142454,1,-0.2001
0.400496,0.0184391,0.0222778,1.49925,2,1.98273,0.42554,2.00101,0.381341,-1.49796,0,0,0.42554,2.00101,-0.297693,2.0148,-0.0172678,1,-0.2668
0.495039,0.0192986,-0.004002,1.49925,2,1.98177,0.502976,2.00105,0.488963,-1.49817,0,0,0.502976,2.00105,1.261,1.99106,-0.0182296,1,-0.4002
0.594996,0.0170003,-0.0429548,1.49925,2,1.98424,0.610971,2.00118,0.582799,-1.49796,0,0,0.610971,2.00118,-0.112234,2.00988,-0.0157578,1,-0.5336
0.694756,0.0102391,-0.0941804,1.49925,2,1.9914,0.70853,2.00159,0.684327,-1.49758,0,0,0.70853,2.00159,-0.0163928,2.00697,-0.00860298,1,-0.5336
0.794015,-0.00181612,-0.14754,1.49925,2,2.00434,0.774901,2.00243,0.808271,-1.49666,0,0,0.774901,2.00243,1.54089,2.00074,0.00433826,1,-0.4002
0.892587,-0.0186167,-0.188894,1.49925,2,2.02263,0.886338,2.004,0.897148,-1.49523,0,0,0.886338,2.004,0.151119,1.99913,0.0226257,1,-0.2668
0.99053,-0.038778,-0.216375,1.49925,2,2.04467,0.96903,2.00578,1.00583,-1.49328,0,0,0.96903,2.00578,0.225153,1.99721,0.0446718,1,-0.1334
1.08804,-0.0609612,-0.230382,1.49925,2,2.0698,1.05914,2.00864,1.10799,-1.49027,0,0,1.05914,2.00864,0.30481,2.00091,0.0698016,1,-2.22045e-17
1.18538,-0.0838595,-0.231049,1.49925,2,2.09499,1.15753,2.01094,1.20405,-1.488,0,0,1.15753,2.01094,0.39426,2.00298,0.0949869,1,0.1334
1.28286,-0.106185,-0.218509,1.49925,2,2.11953,1.26509,2.01327,1.29442,-1.48586,0,0,1.26509,2.01327,0.49507,2.00307,0.119527,1,0.2668
1.38074,-0.126621,-0.192496,1.49925,2,2.14198,1.38184,2.01535,1.38005,-1.4839,0,0,1.38184,2.01535,0.604964,2.00822,0.141976,1,0.4002
1.47924,-0.14386,-0.153277,1.49925,2,2.1612,1.47103,2.01732,1.48432,-1.4819,0,0,1.47103,2.01732,0.684934,2.01294,0.161198,1,0.5336
1.57842,-0.156561,-0.100717,1.49925,2,2.17543,1.56972,2.01885,1.58371,-1.48037,0,0,1.56972,2.01885,0.77583,2.02138,0.17543,1,0.667
1.67816,-0.163542,-0.0368184,1.49925,2,2.18359,1.68234,2.02004,1.67564,-1.4792,0,0,1.68234,2.02004,0.887852,2.0208,0.18359,1,0.667
1.77814,-0.163889,0.0298816,1.49925,2,2.18422,1.78912,2.0203,1.77152,-1.4789,0,0,1.78912,2.0203,0.993028,2.02739,0.184218,1,0.667
1.87792,-0.157571,0.0965816,1.49925,2,2.17784,1.93365,2.01956,1.8441,-1.47855,0,0,1.93365,2.01956,1.14353,2.03302,0.177842,1,0.667
1.97706,-0.144617,0.163282,1.49925,2,2.16341,2.07689,2.01648,1.91542,-1.47904,0,0,2.07689,2.01648,1.29624,2.03384,0.163406,1,0.667
2.07511,-0.125084,0.229982,1.49925,2,2.14225,2.14327,2.01609,2.03194,-1.48139,0,0,2.14327,2.01609,1.36328,2.04292,0.142254,1,0.667
2.17165,-0.0990585,0.296682,1.49925,2,2.1144,2.24549,2.01405,2.12328,-1.48306,0,0,2.24549,2.01405,1.47691,2.03933,0.114402,1,0.667
2.26623,-0.0666572,0.363382,1.49925,2,2.07969,2.34534,2.01153,2.21224,-1.48519,0,0,2.34534,2.01153,3.14106,1.97645,0.0796936,1,0.5336
2.35869,-0.0285889,0.417275,1.49925,2,2.03851,2.46865,2.00695,2.2799,-1.4872,0,0,2.46865,2.00695,1.72947,2.04137,0.0385094,1,0.4002
2.44925,0.0138154,0.457962,1.49925,2,1.9926,2.54522,2.0041,2.37668,-1.49109,0,0,2.54522,2.0041,3.30746,1.96325,-0.00739884,1,0.2668
2.53831,0.0592879,0.485443,1.49925,2,1.94313,2.64631,1.99942,2.45181,-1.49443,0,0,2.64631,1.99942,3.38838,1.952,-0.0568682,1,0.1334
2.62641,0.106594,0.49945,1.49925,2,1.89168,2.73806,1.99498,2.53152,-1.49817,0,0,2.73806,1.99498,3.46147,1.94887,-0.108316,1,2.22045e-17
2.71416,0.154556,0.50025,1.49925,2,1.8394,2.82126,1.99083,2.61751,-1.50248,0,0,2.82126,1.99083,3.52441,1.94591,-0.160602,1,-0.1334
2.80219,0.201991,0.487577,1.49925,2,1.78779,2.89775,1.98722,2.71071,-1.50702,0,0,2.89775,1.98722,3.57975,1.94318,-0.212211,1,-0.2668
2.89112,0.247714,0.461564,1.49925,2,1.73809,2.99888,1.98246,2.78193,-1.51006,0,0,2.99888,1.98246,2.36817,2.01935,-0.261914,1,-0.4002
2.98149,0.290515,0.422344,1.49925,2,1.69111,3.06415,1.9796,2.89311,-1.51547,0,0,3.06415,1.9796,2.44945,2.00942,-0.308892,1,-0.5336
3.07372,0.329136,0.369918,1.49925,2,1.64751,3.15435,1.97467,2.98309,-1.52039,0,0,3.15435,1.97467,2.5543,2.00766,-0.352493,1,-0.667
